"Filename",FingerCode,QualityScore,"OptionalError",Quantized,Resampled,UniformImage,EmptyImageOrContrastTooLow,FingerprintImageWithMinutiae,SufficientFingerprintForeground,FDA_Bin10_0,FDA_Bin10_1,FDA_Bin10_2,FDA_Bin10_3,FDA_Bin10_4,FDA_Bin10_5,FDA_Bin10_6,FDA_Bin10_7,FDA_Bin10_8,FDA_Bin10_9,FDA_Bin10_Mean,FDA_Bin10_StdDev,FingerJetFX_MinCount_COMMinRect200x200,FingerJetFX_MinutiaeCount,FJFXPos_Mu_MinutiaeQuality_2,FJFXPos_OCL_MinutiaeQuality_80,ImgProcROIArea_Mean,LCS_Bin10_0,LCS_Bin10_1,LCS_Bin10_2,LCS_Bin10_3,LCS_Bin10_4,LCS_Bin10_5,LCS_Bin10_6,LCS_Bin10_7,LCS_Bin10_8,LCS_Bin10_9,LCS_Bin10_Mean,LCS_Bin10_StdDev,MMB,Mu,OCL_Bin10_0,OCL_Bin10_1,OCL_Bin10_2,OCL_Bin10_3,OCL_Bin10_4,OCL_Bin10_5,OCL_Bin10_6,OCL_Bin10_7,OCL_Bin10_8,OCL_Bin10_9,OCL_Bin10_Mean,OCL_Bin10_StdDev,OF_Bin10_0,OF_Bin10_1,OF_Bin10_2,OF_Bin10_3,OF_Bin10_4,OF_Bin10_5,OF_Bin10_6,OF_Bin10_7,OF_Bin10_8,OF_Bin10_9,OF_Bin10_Mean,OF_Bin10_StdDev,OrientationMap_ROIFilter_CoherenceRel,OrientationMap_ROIFilter_CoherenceSum,RVUP_Bin10_0,RVUP_Bin10_1,RVUP_Bin10_2,RVUP_Bin10_3,RVUP_Bin10_4,RVUP_Bin10_5,RVUP_Bin10_6,RVUP_Bin10_7,RVUP_Bin10_8,RVUP_Bin10_9,RVUP_Bin10_Mean,RVUP_Bin10_StdDev,FrequencyDomainAnalysisSpeed,MinutiaeCountSpeed,MinutiaeQualitySpeed,RegionOfInterestMeanSpeed,LocalClaritySpeed,ContrastSpeed,OrientationCertaintySpeed,OrientationFlowSpeed,RegionOfInterestCoherenceSpeed,RidgeValleyUniformitySpeed
"00001052_plain_500_10.png",0,NA,"Error: NFIQ2 computeQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00001057_plain_500_03.png",0,90,NA,0,0,35.60468,163.21826,55,98722,8,3,8,15,10,11,11,19,15,11,0.46332,0.19947,32,55,0.32727,0.70909,144.92444,0,11,2,3,4,4,17,18,18,34,0.80947,0.16921,164.34483,163.21826,3,4,3,2,6,5,13,14,36,42,0.82369,0.15001,2,5,3,3,9,9,6,11,11,8,0.31942,0.29781,0.70199,83.53743,13,41,22,58,100,33,41,17,0,0,1.11662,0.80959,5.5355,13.983,0.30446,23.853,10.916,0.13807,0.532,4.49,0.84554,6.7693
"00001308_plain_500_08.png",0,68,NA,0,0,38.29277,179.95742,44,104494,5,7,4,12,9,12,14,16,26,12,0.48427,0.20002,16,44,0.43181,0.59090,161.90696,0,9,3,5,1,8,5,17,13,56,0.80812,0.21151,180.62681,179.95742,2,11,6,9,6,17,15,19,40,25,0.77632,0.15270,6,4,11,3,18,8,5,6,5,3,0.18406,0.22664,0.69181,88.55178,11,18,11,42,108,36,23,15,0,0,1.14347,0.65404,5.9871,15.313,0.22864,21.392,11.349,0.14564,0.61139,4.7199,0.91182,7.1673
"00001428_plain_500_07.png",0,76,NA,0,0,37.97752,184.92887,88,95258,3,4,7,10,6,9,10,17,14,25,0.55755,0.26046,31,88,0.26136,0.29545,167.28985,0,13,7,7,9,3,9,14,12,31,0.76109,0.24169,185.91198,184.92887,3,6,6,9,9,8,13,17,31,10,0.75132,0.16934,8,4,2,0,3,3,9,6,7,9,0.35575,0.35601,0.61464,70.06932,13,29,17,38,91,51,25,18,0,0,1.14328,0.85057,5.2059,12.766,0.49024,20.67,9.8212,0.12566,0.47841,4.101,0.76993,6.332
"00001610_plain_500_10.png",0,12,NA,0,0,27.94835,177.54148,189,83741,12,9,11,10,10,7,4,6,2,59,0.64190,0.33130,149,189,0.41798,0.03174,160.57134,0,56,27,10,10,4,7,6,4,6,0.62138,0.28123,179.68567,177.54148,22,15,18,13,8,11,14,12,17,0,0.59800,0.21988,2,5,3,7,4,14,20,19,7,6,0.26839,0.23778,0.47484,51.75805,38,45,17,45,79,47,37,67,0,0,1.30679,1.04058,6.4327,12.721,0.92033,18.863,10.68,0.13395,0.53705,4.5699,0.74669,7.2751
"00001655_plain_500_04.png",0,39,NA,0,0,39.87812,182.44182,147,119150,9,19,18,14,18,6,9,12,0,24,0.46904,0.26095,89,147,0.13605,0.02721,157.98114,0,23,17,19,9,11,20,15,6,9,0.72324,0.21917,183.89494,182.44182,15,18,16,17,29,31,19,13,5,2,0.63919,0.17425,5,6,4,4,7,7,16,8,11,8,0.31525,0.35309,0.52651,75.29137,35,74,47,32,87,67,59,60,0,0,1.20679,0.94792,7.099,17.212,0.70753,24.72,13.546,0.181,0.77226,5.598,0.99502,8.4852
"00001665_plain_500_08.png",0,4,NA,0,0,33.34204,178.35590,192,109708,28,15,9,11,7,3,8,5,2,57,0.58850,0.33670,76,192,0.32291,0,162.10797,0,59,23,19,13,8,12,5,1,5,0.63612,0.26949,182.57177,178.35590,17,36,31,22,15,14,6,3,3,3,0.54924,0.17712,8,10,4,11,2,12,11,9,17,15,0.34158,0.34934,0.38128,50.32959,47,79,18,39,80,44,49,81,0,0,1.30255,1.10472,7.7231,14.292,0.91355,21.384,12.37,0.1534,0.61182,5.1513,0.93393,8.2744
"00001723_plain_500_05.png",0,56,NA,0,0,36.05596,170.41636,57,73809,10,6,9,8,12,5,11,12,10,34,0.56347,0.29484,30,57,0.21052,0.45614,148.06401,0,35,7,6,6,8,15,8,13,19,0.62586,0.34842,173.63067,170.41636,6,6,8,8,9,11,11,17,28,13,0.73752,0.18416,4,3,2,9,7,11,14,8,9,7,0.28237,0.28960,0.65878,61.26712,14,31,44,29,123,64,27,28,0,0,1.20138,1.02967,6.357,12.41,0.29364,19.981,9.9603,0.13054,0.50978,4.095,0.68215,6.5449
"00001880_plain_500_10.png",0,4,NA,0,0,47.35215,159.54483,139,59278,6,9,6,4,0,0,3,3,0,35,0.67952,0.34409,126,139,0.07194,0.02158,128.76082,0,29,12,4,7,5,2,1,4,2,0.55192,0.33158,166.31566,159.54483,12,12,15,11,14,3,8,8,4,3,0.59372,0.20279,0,0,1,2,0,3,5,9,9,5,0.44670,0.28857,0.44204,33.59533,20,15,8,12,35,7,16,44,0,0,1.55133,1.44246,3.4329,10.146,0.75926,15.365,6.9572,0.097485,0.36724,3.2974,0.51109,4.5139
"00002302_N_500_palm_10-core.png",0,20,NA,0,0,70.80132,158.23121,42,14923,0,3,4,0,3,1,0,0,0,1,0.38597,0.18851,42,42,0.50000,0,151.18240,0,7,2,2,1,0,0,0,0,0,0.64667,0.19994,164.35717,158.23121,3,2,5,2,0,0,0,0,0,0,0.42074,0.17077,0,0,0,0,0,0,0,2,0,0,0.35183,0.03462,0.30808,5.54544,7,12,1,1,8,6,4,7,0,0,1.19546,1.10664,0.62812,3.5788,0.21544,6.2314,1.1959,0.019412,0.060997,0.48487,0.12994,0.77872
