"Filename",FingerCode,QualityScore,"OptionalError",Quantized,Resampled,QB_FDA_Bin10_0,QB_FDA_Bin10_1,QB_FDA_Bin10_2,QB_FDA_Bin10_3,QB_FDA_Bin10_4,QB_FDA_Bin10_5,QB_FDA_Bin10_6,QB_FDA_Bin10_7,QB_FDA_Bin10_8,QB_FDA_Bin10_9,QB_FDA_Bin10_Mean,QB_FDA_Bin10_StdDev,QB_FingerJetFX_MinCount_COMMinRect200x200,QB_FingerJetFX_MinutiaeCount,QB_FJFXPos_Mu_MinutiaeQuality_2,QB_FJFXPos_OCL_MinutiaeQuality_80,QB_ImgProcROIArea_Mean,QB_LCS_Bin10_0,QB_LCS_Bin10_1,QB_LCS_Bin10_2,QB_LCS_Bin10_3,QB_LCS_Bin10_4,QB_LCS_Bin10_5,QB_LCS_Bin10_6,QB_LCS_Bin10_7,QB_LCS_Bin10_8,QB_LCS_Bin10_9,QB_LCS_Bin10_Mean,QB_LCS_Bin10_StdDev,QB_MMB,QB_Mu,QB_OCL_Bin10_0,QB_OCL_Bin10_1,QB_OCL_Bin10_2,QB_OCL_Bin10_3,QB_OCL_Bin10_4,QB_OCL_Bin10_5,QB_OCL_Bin10_6,QB_OCL_Bin10_7,QB_OCL_Bin10_8,QB_OCL_Bin10_9,QB_OCL_Bin10_Mean,QB_OCL_Bin10_StdDev,QB_OF_Bin10_0,QB_OF_Bin10_1,QB_OF_Bin10_2,QB_OF_Bin10_3,QB_OF_Bin10_4,QB_OF_Bin10_5,QB_OF_Bin10_6,QB_OF_Bin10_7,QB_OF_Bin10_8,QB_OF_Bin10_9,QB_OF_Bin10_Mean,QB_OF_Bin10_StdDev,QB_OrientationMap_ROIFilter_CoherenceRel,QB_OrientationMap_ROIFilter_CoherenceSum,QB_RVUP_Bin10_0,QB_RVUP_Bin10_1,QB_RVUP_Bin10_2,QB_RVUP_Bin10_3,QB_RVUP_Bin10_4,QB_RVUP_Bin10_5,QB_RVUP_Bin10_6,QB_RVUP_Bin10_7,QB_RVUP_Bin10_8,QB_RVUP_Bin10_9,QB_RVUP_Bin10_Mean,QB_RVUP_Bin10_StdDev
"00001052_plain_500_10.png",0,NA,"Error: NFIQ2 computeQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00001057_plain_500_03.png",0,90,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,20,32,55,0,71,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,17,65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,30,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,41
"00001308_plain_500_08.png",0,68,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,20,16,44,0,59,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,21,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,22,69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,33
"00001428_plain_500_07.png",0,76,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,26,31,88,0,29,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,24,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,35,62,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,43
"00001610_plain_500_10.png",0,12,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,33,100,100,0,3,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,28,71,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,24,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,52
"00001655_plain_500_04.png",0,39,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,26,89,100,0,2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,22,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,35,53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,47
"00001665_plain_500_08.png",0,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,34,76,100,0,0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,27,72,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,35,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,55
"00001723_plain_500_05.png",0,56,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,29,30,57,0,46,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,35,68,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,29,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,51
"00001880_plain_500_10.png",0,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,34,100,100,0,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,33,65,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,29,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,71
"00002302_N_500_palm_10-core.png",0,20,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,19,42,42,0,0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,20,65,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,55
